NAME,P0,P1
J0932-5327,4.392159,8.37e-15
J0933-4604,3.66991,
J0934-4154,0.570409,2.69e-16
B0932-52,1.444778,4.65e-15
J0935+33,0.9615,
J0936-4750,0.522581,
J0940-5428,0.087569,3.29e-14
J0941-39,0.586778,
J0941-5244,0.658559,1.14e-15
B0940-55,0.664389,2.27e-14
B0941-56,0.808171,3.96e-14
B0940+16,1.087418,9.11e-17
J0943+2253,0.532975,8.98e-17
J0943-5305,1.734,
J0944+4106,2.229431,4.42e-15
B0942-13,0.570264,4.53e-17
J0945-4833,0.331586,4.83e-15
B0943+10,1.097706,3.49e-15
J0947+2740,0.851014,4.3e-16
J0948-5549,0.166095,
J0949-6902,0.640016,6.37e-16
J0951-71,0.212378,
J0952-0607,0.001414,4.77e-21
B0950-38,1.373816,5.77e-16
B0950+08,0.253065,2.3e-16
J0954-5430,0.472866,4.39e-14
J0954-5754,0.004835,
J0955-3947,0.002023,3.81e-20
B0953-52,0.862123,3.53e-15
J0955-6150,0.001999,1.43e-20
J0957-0619,1.7237,
J0957-5432,0.203557,1.95e-15
B0957-47,0.670086,8.52e-17
J1000+08,0.440372,
J1000-5149,0.255677,9.59e-16
B0959-54,1.436639,5.16e-14
J1001-5559,1.661177,8.64e-16
J1001-5603,0.379533,
J1001-5939,7.73364,5.99e-14
J1002-5559,0.777501,1.57e-15
J1002-5919,0.713489,1.04e-16
J1003+41,0.88,
B1001-47,0.307074,2.07e-15
J1005+30,,
J1006-6311,0.835797,5.73e-16
J1010+15,,
J1012+5307,0.005256,1.71e-20
B1010-23,2.517945,8.81e-16
J1012-4235,0.003101,6.550000000000001e-21
J1012-5830,2.133591,3.77e-14
B1011-58,0.819929,1.78e-14
J1013-5934,0.442901,5.56e-16
J1014-48,1.5088,
J1015-5359,0.0208,
J1015-5719,0.13992,5.74e-14
B1014-53,0.769586,1.93e-15
J1016-5819,0.087834,6.99e-16
J1016-5857,0.107386,8.08e-14
J1017+3011,0.452785,5.7e-16
B1015-56,0.503463,3.14e-15
J1017-7156,0.002339,2.2100000000000003e-21
J1018-1523,0.083153,1.09e-19
B1016-16,1.804696,1.74e-15
J1019-5749,0.162513,2.01e-14
J1020-5510,0.003943,
J1020-5921,1.238305,4.05e-14
J1020-6026,0.140481,6.74e-15
J1020-6158,0.282879,
J1021-5601,0.670026,5.34e-17
J1022+1001,0.016453,4.33e-20
J1022-5813,1.643726,1.45e-13
J1023+0038,0.001688,6.930000000000001e-21
J1023-5746,0.111472,3.84e-13
J1024-0719,0.005162,1.86e-20
J1028-5819,0.091403,1.61e-14
J1030-6008,0.027324,
J1031-6117,0.306411,1.78e-15
J1032-5206,2.407622,1.79e-14
J1032-5804,0.078741,3.61e-14
